ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Family_Size,Total_Spending,Total_Purchases,Accepted_Campaigns,Children,KMeans_Cluster,DBSCAN_Cluster,PCA1,PCA2
5524,1957,2,4,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,4867,1,1617,22,0,0,2,-1,4.401599886735598,0.34083311008336675
2174,1954,2,4,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,4317,3,27,4,0,2,3,0,-3.297492128910679,1.1900369884481605
4141,1965,2,5,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,4516,1,776,20,0,0,2,-1,2.28064317755433,-0.5606060987597844
6182,1984,2,5,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,4343,2,53,6,0,1,0,1,-2.7734170312059487,-2.120291056970637
5324,1981,4,3,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,4365,2,422,14,0,1,0,-1,-0.5484696611976456,-0.4452493097236154
7446,1967,3,5,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,4497,2,716,20,0,1,2,-1,0.866662049743871,1.3176568321277669
965,1971,2,2,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,4797,2,590,17,0,1,2,-1,0.5678888180376819,1.0113811243712134
6177,1985,4,3,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,4621,2,169,8,0,1,0,1,-2.4079906415463683,-1.4363821009539377
4855,1974,4,5,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,4592,2,46,5,0,1,0,1,-3.0004677908896946,-1.2449510424193724
5899,1950,4,5,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,4312,3,49,1,1,2,3,-1,-4.817377428974355,1.5150999555467766
1994,1983,2,3,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,4430,2,19,3,0,1,0,1,-3.01443310337102,-2.347342277643573
387,1976,1,3,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,4797,1,61,5,0,0,0,2,-2.0135051332549456,-2.714896126875842
2125,1959,2,2,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,4430,1,1102,15,0,0,2,-1,3.2752517834625277,-1.338421220653122
8180,1952,3,2,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,4430,3,310,12,0,2,3,-1,-1.9636907512689687,2.627827493544863
2569,1987,2,3,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,39,4831,1,46,4,0,0,0,2,-2.1582963482125384,-3.3116232643410086
2114,1946,4,4,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,80,4786,1,1315,25,2,0,1,-1,5.6543082938138625,0.902255874326324
9736,1980,2,3,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46,4756,3,96,6,0,2,3,0,-3.3839556787278724,0.36675737120796
4939,1946,2,5,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,80,4871,1,317,11,0,0,2,-1,0.09491871838700738,-0.11370170587762618
6565,1949,3,3,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,77,4662,2,1782,24,1,1,2,-1,4.514503350154728,3.147748320141329
2278,1985,0,4,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,41,4807,2,133,6,0,1,0,1,-2.2291815930734016,-2.2115831544302256
9360,1982,2,3,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,44,4894,1,316,11,0,0,0,-1,-0.3151795567012512,-2.3137169207542
5376,1979,2,3,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47,4743,2,1730,28,0,1,1,-1,2.9196625264819684,0.7332339310080929
1993,1949,4,3,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,77,4757,2,972,14,1,1,2,-1,0.6878656821840372,2.7764420532960497
4047,1954,4,3,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,72,4373,2,544,17,0,1,2,-1,0.3046143309277454,2.027184899345704
1409,1951,2,5,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,4672,2,444,13,0,1,3,-1,-0.7375725843972315,2.712178520255911
7892,1969,2,4,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,57,4747,1,75,6,0,0,0,2,-1.6360532812904913,-1.9486153302505105
2404,1976,2,3,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,50,4602,3,257,10,0,2,3,0,-2.4912574671392895,1.1464263911244188
5255,1986,2,4,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,40,4698,2,637,27,0,1,2,-1,2.9596298595574386,0.34278915794720977
9422,1989,2,3,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,37,4598,2,131,7,0,1,0,1,-2.0625875657761163,-2.334275564419147
1966,1965,4,3,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,61,4423,1,1672,25,1,0,1,-1,5.619530776846974,-0.6088522179862375
6864,1989,3,2,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,37,4242,1,30,6,0,0,0,2,-1.9785021071192377,-3.2884162063480074
3033,1963,3,5,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4618,1,318,10,0,0,0,-1,0.1765999038836313,-1.4567610741411536
5710,1970,2,5,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,56,4831,2,120,7,1,1,3,-1,-1.3594942948924982,0.1160974575225588
7373,1952,4,2,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,74,4812,3,302,11,0,2,3,-1,-1.5930090854204804,3.952114695965025
8755,1946,3,3,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,80,4698,1,1196,17,0,0,2,-1,2.7222940063030547,0.23604185868778013
10738,1951,3,4,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,75,4508,3,65,5,0,2,3,0,-3.2109530331040568,1.6545626199030872
4339,1970,4,3,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,56,4384,2,913,23,0,1,2,-1,1.565328554209247,1.8968882138455598
10755,1976,0,3,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,50,4504,2,81,6,0,1,0,1,-2.7111747104889528,-1.596268765789044
8595,1973,2,6,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,4342,2,67,5,0,1,3,3,-2.295745538658173,-0.6565621468081081
2968,1943,4,2,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,83,4717,1,902,22,1,0,2,-1,3.075293782557191,0.857454835144535
8601,1980,2,3,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,46,4630,2,1395,19,0,1,2,-1,3.342003882899675,0.2083359618217926
503,1985,3,3,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,41,4678,2,53,5,0,1,0,1,-3.0995962331537914,-1.8989270243254415
8430,1957,2,5,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,69,4756,2,22,3,0,1,3,3,-2.581807816680602,-0.0383484290080642
7281,1959,4,4,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,67,4440,1,186,8,0,0,0,-1,-0.3944166256488716,-1.315033993810518
2139,1975,3,3,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,51,4474,2,31,5,0,1,0,1,-2.984877432410382,-1.4263893281391362
1371,1976,2,4,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,50,4205,1,984,15,0,0,1,-1,3.6544544176507556,-2.275411769658399
9909,1996,0,3,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,30,4801,1,122,7,0,0,0,-1,-1.7868948527639894,-3.488346893122489
7286,1968,2,5,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,58,4605,2,55,4,0,1,0,1,-2.9815121611475424,-1.1303699728181575
7244,1951,2,4,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,75,4383,4,124,7,0,3,3,-1,-3.774066857940288,2.7943637140256903
6566,1954,4,3,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,72,4802,3,1319,19,0,2,2,-1,0.719745600836272,4.572262209152593
8614,1957,2,6,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,69,4252,2,507,16,0,1,2,-1,0.6792103310897911,0.9056329722208666
4114,1964,3,3,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,62,4891,1,1693,28,0,0,1,-1,5.289880104000343,0.035038272082247635
1331,1977,2,4,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,49,4747,2,72,5,0,1,0,1,-2.6854611135322455,-1.5465269182432315
2225,1977,2,2,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,49,4226,1,1617,20,2,0,1,-1,6.179631333033292,-2.142207757968649
9381,1978,2,3,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,48,4586,3,606,16,0,2,3,-1,-0.6208581021664819,1.9832336741061012
6260,1955,3,5,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,71,4791,1,1957,26,1,0,1,-1,7.263163944558401,0.2373330407275039
10383,1966,2,2,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,60,4657,1,1093,20,0,0,2,-1,3.387813622645627,-1.027247433718857
7437,1988,2,4,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,38,4266,2,29,5,0,1,0,1,-2.725903884076269,-2.7566949006999235
8557,1982,2,4,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,4581,2,46,5,0,1,0,1,-2.6476595652078894,-1.8524897469045436
8375,1968,4,3,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,58,4322,2,518,16,0,1,2,3,-0.44119178475962967,1.4341854155395095
6853,1982,3,4,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,44,4564,1,1438,20,2,0,1,-1,4.885834296066402,-1.708803099217329
3076,1975,2,5,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,51,4864,3,612,18,0,2,3,-1,-0.47627950282405385,1.8359514278570586
1012,1952,2,4,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,74,4700,2,884,20,0,1,2,-1,1.2673311899179696,2.901767587365204
6518,1951,4,6,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,75,4587,2,606,18,0,1,2,-1,0.37815577885639085,2.259530340728453
4137,1948,2,5,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,78,4409,1,1076,15,0,0,2,-1,2.7476610607628533,-0.21491171772436368
8082,1971,2,3,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,55,4608,2,34,4,0,1,0,1,-2.9275885871358267,-1.5703258840138974
1386,1967,2,5,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,59,4253,3,11,3,0,2,3,0,-3.8491034772255883,0.1812611887862445
9369,1979,0,4,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,47,4306,2,1274,31,2,1,1,-1,4.867561799582406,0.3644791660001883
4477,1958,2,5,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,68,4479,2,653,17,0,1,2,-1,1.2377300935355278,1.2276941253672353
1357,1970,2,5,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,56,4651,4,1562,12,0,3,3,-1,-0.008625772127652963,3.9729891478084123
1402,1954,3,3,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,72,4860,1,1253,18,0,0,2,-1,3.361564534257999,0.0008065640492021004
10629,1973,0,3,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,53,4857,2,109,6,0,1,0,-1,-2.4885766637406905,-1.1423802645039656
6312,1959,2,3,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,67,4673,2,863,26,0,1,2,-1,2.454067253322849,2.5246364363231297
8132,1975,4,3,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,51,4654,3,661,19,1,2,3,-1,-0.34063900622517485,2.923615260380514
1050,1952,2,3,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,74,4264,1,65,7,0,0,0,2,-0.9819006599738274,-1.418986471443946
5846,1977,2,2,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,49,4761,2,13,3,0,1,0,1,-2.965664989093438,-1.8997011922216684
1859,1972,3,3,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,54,4875,1,1890,18,0,0,1,-1,4.019551820649128,-0.9856177346904661
7503,1976,2,4,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,50,4829,1,2209,22,1,0,1,-1,5.8818961124660145,-1.4668180620530897
10401,1976,0,5,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,50,4502,1,18,3,0,0,0,-1,-1.9952835161708617,-3.1886256538752136
1618,1965,2,5,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,61,4747,1,692,19,1,0,2,-1,1.181935741286196,-0.12246766011354737
3332,1985,2,4,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,41,4873,2,165,8,0,1,0,1,-2.459119449513631,-1.3051583237676838
2261,1969,2,3,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,57,4575,2,16,3,0,1,0,1,-3.144601081677215,-1.558236050379043
5346,1973,0,3,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,53,4565,2,79,6,0,1,0,1,-2.783739830992821,-1.3566509364233201
4119,1963,3,5,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4618,1,318,10,0,0,0,-1,0.1765999038836313,-1.4567610741411536
535,1987,2,2,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,39,4328,1,778,26,0,0,2,-1,3.2852843404692167,-2.1023470160311892
5268,1960,2,3,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,66,4526,3,56,5,0,2,3,0,-3.431605731414369,1.0365577306805762
273,1970,3,3,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,56,4552,3,151,8,1,2,3,-1,-2.550063831667281,1.6747504158035427
4452,1957,2,4,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,69,4236,2,372,13,2,1,3,-1,0.43099727837221025,1.4932912755524028
8504,1973,2,3,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,53,4252,1,1366,18,1,0,1,-1,4.939787406789766,-1.9391270417042181
